position,company,wages,place,education,work_experience,release_date,limit_people,address,company_type,company_size,industry,point_information
PHP开发工程师,上海沁未网络科技有限公司,2-5万/月,上海-虹口区,本科,3-4年经验,07-05发布,招5人,1133号,民营公司,少于50人,计算机软件,"1. 按质、按量、按时的完成代码开发任务。2. 根据项目需要，撰写及修改相应的文档。3. 完成在各个测试阶段BUG的修改4. 按照编码规范编程，并编制贯穿整个软件开发周期的文档资料任职条件1. 大专以上学历，年龄不超过35岁，热爱编程开发，计算机，软件相关专业的应届生也可培养。2. 会PHP/MySQL开发, 熟悉基于PHP的面向对象编程思想,3. 熟悉WEB应用框架(Codelgniter、Zend Framework、Symfony、ThinkPhp或其它)；4. 熟悉MySQL数据库应用开发，熟悉MySQL日常维护、性能优化等基本操作技能；对SQL Server， Oracal等有一定认识了解5. 谦虚好学，积极上进。注意：投递简历后确保手机和邮箱的畅通，一旦错过面试通知，公司不进行第二次联系。职能类别：软件工程师网站维护工程师关键字：phpphp开发程序员微信分享"
PHP软件工程师（靠近2号线威宁路站）,上海求步信息系统有限公司,0.8-1万/月,上海-长宁区,大专,2年经验,07-05发布,招2人,天山路641号2号楼605室,外资（非欧美）,少于50人,"计算机软件,互联网/电子商务",1、2年以上PHP语言开发经验；2、熟悉MVC架构至少精通或熟悉一种常用的PHP开发框架；如无PHP开发经验，Java的框架经验也可。3、具备良好的代码编程习惯及文档编写能力，有良好的团队合作能力；任职要求：1、学历大专以上（含大专）；2、2年以上工作经验；工作时间9:00-18:00，加班有加班费，如果休日出勤按休日加班计算。五险一金，年终奖，年度体检，旅游，节日福利。总公司在日本东京，有出国出差机会。公司也做国内项目的，不会日语没关系，同事都是中国人。内部员工推荐人员入职另外有奖金。职能类别：软件工程师关键字：PHP软件开发工程师微信分享
后端开发程序员PHP,上海通泰化学有限公司,1-1.5万/月,上海-徐汇区,大专,3-4年经验,07-05发布,招1人,钦州北路1089号54栋二层,民营公司,少于50人,"贸易/进出口,互联网/电子商务",岗位职责能独立进行二次开发，程序模块的设计和开发、优化、维护、能负责整站(PC/移动端/小程序)上线；按照项目计划，按时提交高质量代码，完成开发任务；负责相关产品需求讨论与产品系统架构的设计和优化工作；能编写相关文档，并完成高质量的代码实现和单元测试；职位要求:计算机以及相关专业，专科以上学历，熟练PHP、MySQL，2年以上PHP开发经验，掌握常用的测试方法和调试工具、能自己搭建测试环境；熟练使用PHP的各类开发框架（Laravel/Ecstore）;掌握H5、Bootstrap，React，VUE等基础前端技术；5.有小程序开发经验，了解小程序相关开发配置；6.良好的编程习惯、代码清晰、模块化强、文档清晰；7.具有较强学习能力和问题解决能力，有责任心，积极上进，有团队协作精神；职能类别：PHP开发工程师关键字：phpphp开发微信分享
PHP开发工程师,北京汉克时代科技有限公司,1.1-1.4万/月,深圳,大专,3-4年经验,07-05发布,招5人,深圳市福田区梅林街道梅林路卓越梅林中心广场（南区）B座2301室,民营公司,1000-5000人,计算机软件,岗位职责：1.负责服务端功能设计和开发2.负责产品功能的优化和重构任职资格：1.大专以上学历，有三年以上的PHP项目开发经验；2.熟练掌握LNMP/LAMP开发，并具备良好的编程风格；3.熟悉mysql，掌握mysql分区、分表、集群等相关设计方案，具备mysql优化经验；4.了解memcache、redis、mongodb等常用nosql解决方案，了解各自的优缺点以及使用场景；5.熟悉web开发中各类缓存设计、站点优化方案；职能类别：PHP开发工程师关键字：nginxphp开发linunxphp微信分享
PHP高级程序员,武汉市凯维网络技术有限公司,0.8-1万/月,武汉-洪山区,大专,3-4年经验,07-05发布,招若干人,光谷总部国际,民营公司,,计算机软件,岗位职责：1.精通PHP语言，熟练使用php进行高效开发；2.负责客户php项目功能二次开发及维护；3.熟练使用各种api接口进行开发工作；4.参与PHP项目的需求分析、设计、优化等开发工作；5.能够独立完成系统架构设计、数据库设计、编程工作；6.具有代码结构清晰，编写规范，喜欢写注释的良好编程习惯；任职要求：1.大专以上学历，计算机相关专业，3-4年PHP全职开发经验；3.精通PHP+MYSQL编程，熟悉MYSQL数据库开发、配置、维护、性能优化；5.熟练掌握前端网页技术，如：javascript、JQeury、Ajax、html5、vue等；6.能够承受工作压力，能在规定时间内高效完成任务；7.工作认真负责有担当，有较强的沟通能力，能够快速了解客户需求，良好的团队合作精神。工作时间：09:00-12:0013:30-18:30福利：公司购买五险，定期组织团建，免费旅游，年终奖。无工作经验或条件不符请勿投职能类别：PHP开发工程师微信分享
PHP开发工程师,湖南强视信息科技有限公司,0.5-1.2万/月,长沙-开福区,大专,2年经验,07-05发布,招若干人,元盛大厦1201,民营公司,少于50人,计算机软件,"岗位职责：1、WEB管理系统软件的前端、后端的需求分析、设计和开发；2、编写开发文档，使用说明文档；任职要求：1.Php开发2年以上（有能力者可不考虑时间限定），熟悉常用PHP框架；2.熟悉web开发相关前端技术，包含js,jquery,html,css等，能独立编写js和jquery框架代码，对div+CSS相关知识熟练掌握并能在一定范围内修改相关代码。3.熟悉SQL语言, 熟悉编写高效sql与sql优化；4.有初步的美术素养5.熟悉moodle系统优先职能类别：软件工程师PHP开发工程师关键字：phpphp开发php工程师微信分享"
PHP网站程序员 (职位编号：site001),温州市赛特网络信息服务有限公司,0.4-1万/月,温州,大专,1年经验,07-05发布,招1人,温州市瓯海经济技术开发区东方路213号第3层,民营公司,少于50人,"计算机软件,贸易/进出口",岗位职责：1、企事业单位网站、电子商务网站开发、系统开发；2、按照项目管理流程，参与研发部门的总体设计评审；3、进行详细设计、代码开发，配合测试，高质量完成项目；4、参与技术难题攻关、组织技术积累等工作。任职资格：1、一年以上开发经验，有企业级应用开发经验；2、精通PHP编程，有实际项目经验，熟练使用相关开发工具；3、熟悉JavaScript、Ajax、XML等相关技术；4、熟悉MySQL等数据库开发、SQL性能调优；6、有良好的代码书写、注释和单元测试习惯，熟练运用多种软件设计模式；职能类别：软件工程师网站架构设计师关键字：php程序员微信分享
PHP开发工程师,福建省扬彬网络科技有限公司,0.6-1万/月,福州-鼓楼区,大专,,07-05发布,招若干人,洪山桥小区4座夹层,民营公司,少于50人,计算机软件,"岗位职责1、负责公司现有PHP网站优化和新产品开发；2、按照项目计划，与项目组其他成员协同工作实现开发目的；3、协助工程师测试和发布系统，准备相关的技术文档，协助解决各种技术问题；4、负责文档撰写，在前期期间设计交付URL接口文档、模板数据描述文档，在编码期间能撰写清晰明了的注释。任职资格1、具备1-2年以上PHP开发/技术支持经验，熟悉PHP面向对象的设计方法，熟练使用PHP常用MVC框架2、具有良好的代码编写能力和良好的代码编程习惯，具备快速解决问题的能力4、精通PHP+MYSQL编程，熟练使用Javascrīpt/Ajax以及CSS编写；5、熟悉主流开发框架及设计模式6、熟悉各种WEB缓存技术，熟悉大型网站架构及性能优化7、熟悉Mysql数据库应用开发，了解Mysql的数据库配置管理、性能优化，熟悉mangodb，postgresql的优先8、至少一种PHPFramework(Zend，Framework,smarty，Yii，etc、、)有一定的了解；具备良好的代码编程习惯及文档编写能力；9、至少具备一种SQL数据库(MySQL，Oracleetc、、)使用经验，了解事务，触发器，存储过程等。熟悉各种缓存及nosql技术。职能类别：PHP开发工程师软件工程师关键字：phpphp开发php工程师微信分享"
PHP高级开发/架构,深圳市达熙科技有限公司,1.8-3.5万/月,深圳,大专,3-4年经验,07-05发布,招4人,南山区,民营公司,少于50人,"互联网/电子商务,计算机软件",职责描述：1、负责游戏前台业务API/后台系统/数据统计系统编写；2、保证业务稳定、安全、可靠性。任职要求：1、统招本科优先，计算机应用及相关专业，至少3年以上PHP开发经验；2、熟练掌握LNMP开发，并具备良好的编程风格，能把良好的设计理念，思想落实到项目实践中；3、熟悉Mongodb、Redis、mysql等常用的数据存储解决方案，了解各自的优缺点及使用场景；4、熟练Linux系统；5、熟悉网络编程和数据安全，有丰富的开发经验；5、善于抽象、总结、思考，富有激情，对技术有执着追求；6、有游戏后端开发经验者优先；7、具有Go语言开发经验优先；8、有高并发系统开发经验者优先。9、具有创业激情及创业心态，目标导向；职能类别：系统架构设计师高级软件工程师微信分享
PHP开发工程师,广州海力物流集团有限公司,0.8-1.3万/月,广州-黄埔区,本科,2年经验,07-05发布,招2人,经济技术开发区志诚大道302号融汇大厦1001,民营公司,150-500人,交通/运输/物流,"【职位描述】1、负责平台的设计、开发和运营工作；2、研究新兴技术，持续优化系统架构。3、参与系统框架和核心模块的开发和维护；4、参与新产品的开发；5、根据公司技术文档规范编写相应的技术文档；【任职要求】1、两年以上开发经验；2、本科学历, 主修计算机科学、软件工程或信息技术相关专业；英语四级；3、精通HTML, CSS, JavaScript等前端技术；4、精通TCP/IP、HTTP等网络通讯协议；5、精通php基础,面向对象思想；6、熟悉数据库(Mysql)优化，算法（高效代码），扩展管理（pear pecl）包括管理工具 （composer）；7、熟悉LNMP环境、SVN、Linux操作；8、熟悉HYperf或Laravel框架，熟悉redis各场景应用，消息队列等，了解Swoole；9、良好的编码习惯,良好的团队合作能力和沟通能力；热爱互联网产品，工作态度积极，对产品细节敏感；10、沟通良好，能承受一定的工作压力,能独立工作；11、熟悉TARS的RPC开发框架优先考虑。职能类别：软件工程师关键字：PHP微信分享"
