position,company,wages,place,education,work_experience,release_date,limit_people,address,company_type,company_size,industry,point_information
python工程师-大数据方向,深圳华策辉弘科技有限公司,1.5-2.5万/月,上海-浦东新区,本科,3-4年经验,07-04发布,招2人,上海市浦东新区LCM置汇旭辉广场A座,外资（非欧美）,50-150人,计算机软件,工作职责：1、理解并合理抽象业务需求 ，发挥数据价值，参与业务项目数据 分析及精通 hql并实现 各类复杂场景开发；2、熟练使用python、shell、java（ud等）实现hive开发工作，熟练掌握hadoop、hbase、hive、spark、sqoop等；任职资格：1、全日制本科以上学历，2年以上数仓、大数据分析相关工作经验，有金融和互联网行业经验优先，统计、数学、计算机专业；2、熟悉数据仓库实施方法论，深入了解数据仓库体系，并支撑过实际业务场景；3、主动好学，谦虚，具有责任感，搞压能力和团队合作精神，具备良好的沟通合作技巧。本岗位工作地址：上海-浦东新区- LCM置汇旭辉广场A座职能类别：Python开发工程师关键字：python大数据大数据开发hadoop微信分享
Python初级开发工程师,自考之家科技（深圳）有限公司,6-8千/月,深圳,本科,2年经验,07-04发布,招2人,深圳市宝安区西乡街道西乡大道银星商务酒店12A自考之家科技,民营公司,50-150人,教育/培训/院校,技能要求：Python【岗位职责】1、负责协同开发完成项目开发，效率准确的完成协作；2、关注性能，提交报告，提升用户体验；3. 主要负责Web开发和维护。【岗位要求】1、本科及以上学历，男女不限；2. 年龄18-30，星座不限；3. 此岗位为初级岗，接受优秀应届毕业生或实习生；4. 能够熟练使用python，java等任一编程语言；5. 对Django和Flask框架有基础的优先考虑。6.全栈工程师优先考虑，优秀者可具体面谈。职能类别：网络工程师(IT工程师)关键字：python开发工程师微信分享
Python开发工程师,上海兆豪信息技术有限公司,0.8-1.5万/月,杭州-江干区,本科,1年经验,07-04发布,招2人,下沙经济技术开发区金沙大道606号,外资（非欧美）,少于50人,"计算机服务(系统、数据服务、维修),仪器仪表/工业自动化","[[[ 本职缺为新成立之子公司：杭州兆宇互联信息技术有限公司 所开设 ]]][[[ 新创公司，目前人数规模10人以内，若不在你的考虑范围就别浪费彼此时间了 ]]]透过工业乙太网通讯(OPC)串联车间设备与SCADA、MES上位机；分析处理现场环境的干扰因素，使设备实时数据信息能够被准确采集；建立数据分析与机器学习模块达成数据趋势预测；重构现有软件使其符合一般开发规范，并持续维护优化。任职要求：熟悉Python网络程序(requests, opcua)开发；熟悉Python物件导向程序开发；熟悉Python多线程程序开发；计算机科学、信息技术相关专业，全日制本科或以上学历；有较强的责任心、良好团队协作能力、沟通能力、谦虚踏实。加分项目：熟悉各式工业乙太网通讯协议（MODBUS/232/485/OPC...）；熟悉数据库相关操作与开发(MSSQL, MongoDB, InfluxDB)；熟悉git版本管理工具；熟悉数据分析、机器学习等模块(numpy, pandas, tensorflow, pytorch)职能类别：软件工程师系统架构设计师关键字：数据分析python软件架构优化微信分享"
python爬虫工程师,深圳筑龙信息技术有限责任公司,0.8-1.5万/月,深圳-福田区,本科,1年经验,07-04发布,招若干人,深南中路2010号东风大厦8楼,民营公司,150-500人,"计算机软件,互联网/电子商务",工作职责：1、数据分析、采集、挖掘、清洗、整合、入库及备份等数据日常工作；2、能够根据项目的实际需要，进行技术方案的分析、选型；3、研究各种网页探寻特点和规律，负责网页信息抽取、数据清洗等研发和优化工作；任职要求：1、统招本科及以上学历，计算机、数学、统计学相关专业；2、 熟练掌握python，掌握numpy、pandas、sklearn、selenium、sqlalchemy等包的用法；3、 熟悉了解html、css、javascript，懂得分析常见web界面结构，掌握基本jquery、css、xpath 等语法；4、 熟悉掌握sql语言，熟悉（mysql postgresql  mssql  oracle )其中一种；5、 有以下技术背景优先考虑：1）数据仓库技术，包括常见etl工具的使用，如kettle; 常见数据仓库设计理论 ；2） 了解hadoop基本生态，如hdfs  hive yarn spark等职能类别：算法工程师微信分享
Python开发工程师,武汉海星通技术股份有限公司,0.7-1万/月,武汉-江汉区,大专,1年经验,07-04发布,招1人,新金科技企业孵化器,民营公司,少于50人,"医疗设备/器械,计算机软件",岗位职责：1、根据公司产品发展方向，参与医疗类应用业务的后端需求分析，产品设计，功能开发；2、与产品经理、前端开发人员配合，快速构建能够满足产品需求的平台，系统及网络基础结构；3、参与高并发后台服务系统的需求整理和开发工作，负责系统性能优化和改进并证明比现有方案更优；4、负责编写接口文档、部署文档等相关技术文档。岗位要求：1、大专及以上学历，计算机相关专业毕业，具有良好团队合作精神，有高度的责任心，能在开发过程中把控代码质量；2、1年以上Web服务器端开发经验，1年以上Python服务端开发经验，有过大并发经验优先；3、有丰富的数据库建模经验，有MySQL、MongoDB、Redis使用经验者优先；4、了解各种常见算法并能灵活运用；5、了解Linux系统（Ubuntu）常规操作；6、有系统优化或重构经验优先；7、对行业新技术有浓厚的兴趣，并积极合理的将其引入项目；8、有自己的开源项目、或者对开源项目有贡献者优先；9、有微服务架构设计与开发经验优先。职能类别：软件工程师微信分享
软件开发岗(Python),中移信息技术有限公司,,深圳-福田区,本科,3-4年经验,07-04发布,招2人,国通大厦,国企,1000-5000人,"通信/电信/网络设备,互联网/电子商务",1)负责机器人流程自动化RPA产品的Python开发工作。2)参与需求讨论、架构设计、功能开发与维护、新技术预研等；3)参与部署、运维相关工作，以及对接业务需求，解决线上问题。4)撰写相关技术文档。任职条件：教育：全日制大学本科及以上学历，计算机、通信等相关专业。知识：1）熟悉Python语言开发，掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识，熟悉常用设计模式；2）熟悉BS、CS架构，具有相关应用开发经验；3）熟悉PyQt、tkinter、wxpython等框架，具有桌面应用研发经验；4）熟悉数据库原理和常用sql语句；5）熟悉linux下shell脚本操作，具有shell编程能力；6）具备良好的技术文档撰写能力；技能素质：1）学习能力强，具备较强的逻辑分析能力和独立解决复杂问题的能力；2）善于沟通和团队协作，有高度的责任心和敬业精神；3）身心健康，有一定的抗压能力。经验：具有3年及以上相关工作经验。职能类别：Python开发工程师关键字：软件开发Python微信分享
Python高级开发工程师,杭州羽联信息科技有限公司,1.6-2.5万/月,杭州-拱墅区,大专,3-4年经验,07-04发布,招1人,杭州市拱墅区祥园路137号浙大网新智慧立方C座402,民营公司,50-150人,"互联网/电子商务,公关/市场推广/会展","岗位职责：1.负责短视频APP和网站的达人数据爬取；2.负责爬虫平台配置的开发；3.不断研究各个平台的反爬虫策略；4.爬虫性能提升，APP数据爬取，反爬策略研究；5.具有良好的沟通和团队协作能力；任职要求：1.3-5年以上工作经验，其中3年及以上实际的爬虫项目经验，本科以上学历；2.掌握Python技术,熟悉常用爬虫框架如Scrapy框架或其他的Web scraping framework的一种或多种；3.熟悉HTML/JavaScript/CSS/xpath/url/Ajax/xml等Web技术,熟悉HttpClient、jsoup、WebDriver、phantomjs等工具;4.熟悉PostgreSQL、redis，Mongodb等NoSQL数据库，熟悉基于关系型数据库Mysql的开发，熟悉Internet基本协议；5.对主流短视频平台APP、网站有一定分析和爬取经验，熟知各种反爬策略经验者优先;6.做事有责任心、有想法，热爱技术，喜欢钻研；对开源项目有浓厚的兴趣；7.有抖音、快手、b站、小红书等平台有爬取经验者优先职能类别：爬虫开发工程师Python开发工程师关键字：python爬虫开发工程师微信分享"
Python 软件开发初级工程师,上海东软载波微电子有限公司,,上海,本科,无需经验,07-04发布,招若干人,徐汇区龙漕路299号天华信息科技园2号楼A座5楼,民营公司,150-500人,电子技术/半导体/集成电路,主要职责:1、参与软件模块需求分析；2、根据项目需求，完成管理系统及应用系统软件开发及测试3、编写需求分析文档、设计文档、用户培训与操作文档；4、负责软件技术支持及后期维护工作。相关技能要求:1、具有良好的计算机专业基础知识；2、至少熟悉两种常用编程语言，如Python、C#、Java等；3、至少熟悉一种数据库，如SqlServer、MySql、PostgreSql等；4、具有个人自学能力、创新能力、文档编写能力；5、具有良好的沟通能力和团队协作精神。工作经历要求：有Python项目开发经验者优；有Odoo开发经验者优。职能类别：软件工程师微信分享
Python讲师,湖南六星教育网络科技有限公司,0.8-1万/月,长沙-岳麓区,大专,3-4年经验,07-04发布,招5人,芯城科技园2期7栋,民营公司,150-500人,教育/培训/院校,【岗位职责】1:从事互联网python课程的在线教学，编制上课课件，实施授课计划，保证教学质量；2:熟悉pyspider框架，mongodb、Redis数据库，mysql数据库；3:熟悉scrapy-Redis分布式爬虫架构和部署；4:参与教学评议和课程推广指导；5:对学员进行考评，提供教学建议、解答疑难问题等。【任职要求】1、负责组织上课的整体流程，讲授课程；2、负责与学员进行沟通、交流，全面了解学员的需求，解答学员的疑惑职能类别：培训讲师Python开发工程师关键字：pythonmysqlmongodbmySQLRedis分布式技术网络爬虫技术微信分享
Python开发工程师,厦门互誉商贸有限公司,6-8千/月,福州-仓山区,本科,1年经验,07-04发布,招1人,福峡路海西佰悦城2期16座（商务楼）411-413,民营公司,150-500人,批发/零售,岗位职责：1、参与家纺营运系统编程，使用python分析家纺销售数据2、参与家纺库存销模块的升级，结合销售数据，搭建模型测试升级3、基于ERP系统，进行数据监测预警系统搭建4、维护日常系统的稳定，面对突发问题，能够及时跟进，提供解决方案，并汇报结果岗位要求：1、计算机专业2、有过python编程经验3、熟悉mysql，SQLserver等数据库4、大学期间参与数学建模优先职能类别：Python开发工程师微信分享
